Food,Calories,Protein,Carbs,Fat,Fiber,Sugars,Cholesterol
crushed tomatoes,20,1.0,4.0,0.0,1.5,3.0,0
parmigiano-reggiano,22,2.0,0.2,1.5,0.0,0.0,4
cannoli,240,5.0,25.0,13.0,1.0,18.0,30
ricotta,49,3.2,0.8,3.8,0.0,0.1,14
pistachio,10,0.4,0.5,0.8,0.2,0.1,0
biscotti,110,2.0,18.0,4.0,1.0,9.0,15
espresso,2,0.2,0.0,0.0,0.0,0.0,0
focaccia,250,8.0,40.0,7.0,2.0,2.0,0
rosemary,1,0.0,0.2,0.0,0.1,0.0,0
coarse salt,0,0.0,0.0,0.0,0.0,0.0,0
olive oil,120,0.0,0.0,14.0,0.0,0.0,0
bruschetta,180,4.0,25.0,7.0,3.0,4.0,0
balsamic glaze,13,0.0,3.0,0.0,0.0,2.7,0
ribollita,350,15.0,55.0,8.0,14.0,10.0,5
cannellini beans,105,7.0,20.0,0.5,6.0,1.0,0
kale,33,2.9,6.0,0.6,2.0,1.0,0
stale bread,80,3.0,15.0,1.0,1.0,1.5,0
polenta,150,3.0,32.0,1.0,3.0,1.0,5
gorgonzola cheese,100,6.0,0.7,8.0,0.0,0.1,21
negroni,190,0.0,15.0,0.0,0.0,15.0,0
gin,70,0.0,0.0,0.0,0.0,0.0,0
campari,80,0.0,10.0,0.0,0.0,10.0,0
sweet vermouth,40,0.0,5.0,0.0,0.0,5.0,0
orange peel,1,0.0,0.2,0.0,0.1,0.0,0
osso buco,550,45.0,15.0,30.0,4.0,6.0,150
gremolata,15,0.5,1.0,1.0,0.5,0.5,0
risotto alla milanese,350,10.0,50.0,12.0,3.0,3.0,30
saffron,1,0.0,0.1,0.0,0.0,0.0,0
panettone,320,6.0,50.0,12.0,3.0,25.0,70
candied fruit,30,0.0,8.0,0.0,0.5,8.0,0
amaretti cookie,90,2.0,12.0,4.0,1.0,10.0,0
limoncello,150,0.0,18.0,0.0,0.0,18.0,0
panna cotta,300,4.0,25.0,20.0,0.0,22.0,70
berry coulis,20,0.0,5.0,0.0,0.5,4.5,0
saltimbocca,380,38.0,5.0,22.0,0.5,1.0,120
prosciutto,35,4.0,0.0,2.5,0.0,0.0,10
sage,1,0.0,0.1,0.0,0.1,0.0,0
polenta,120,2.5,25.0,1.0,2.0,0.5,0
caponata,180,2.0,15.0,14.0,5.0,9.0,0
eggplant,40,0.5,6.0,2.0,2.0,3.0,0
pine nuts,48,1.0,1.0,5.0,0.2,0.2,0
raisins,27,0.3,7.0,0.0,0.3,6.0,0
gelato,220,5.0,24.0,12.0,2.0,20.0,40
waffle cone,70,1.0,13.0,1.5,0.5,7.0,5
cacio e pepe,500,18.0,65.0,19.0,4.0,3.0,50
pecorino romano,110,7.5,1.0,8.5,0.0,0.0,25
black pepper,3,0.1,0.7,0.0,0.3,0.0,0
fiorentina steak,230,24.0,0.0,15.0,0.0,0.0,75
olive oil,120,0.0,0.0,14.0,0.0,0.0,0
rosemary,1,0.0,0.2,0.0,0.1,0.0,0
white beans,150,8.0,20.0,4.0,7.0,2.0,0
garlic,4,0.2,0.9,0.0,0.1,0.0,0
sage,1,0.0,0.1,0.0,0.1,0.0,0
arancini,250,9.0,30.0,10.0,3.0,3.0,30
ragù,25,1.5,1.0,1.5,0.5,0.5,5
mozzarella,40,3.0,0.5,3.0,0.0,0.2,10
breadcrumbs,25,0.5,4.0,0.5,0.5,0.5,0
campari & soda,85,0.0,10.0,0.0,0.0,10.0,0
olive,5,0.0,0.1,0.5,0.1,0.0,0
vitello tonnato,380,35.0,3.0,25.0,0.5,1.0,110
tuna sauce,100,4.0,1.0,9.0,0.0,0.5,15
capers,2,0.2,0.4,0.1,0.3,0.1,0
lemon slice,1,0.0,0.3,0.0,0.1,0.1,0
gnocchi alla sorrentina,450,15.0,60.0,18.0,6.0,9.0,40
tomato sauce,40,1.5,7.0,1.0,2.0,4.0,0
mozzarella,80,6.0,1.0,6.0,0.0,0.5,20
basil,1,0.1,0.0,0.0,0.1,0.0,0
pesto,290,5.0,4.0,29.0,2.0,1.0,5
pine nuts,95,2.0,2.0,10.0,0.5,0.5,0
garlic,2,0.1,0.5,0.0,0.0,0.0,0
trofie pasta,210,7.0,43.0,1.0,2.0,1.0,0
green beans,15,0.9,3.5,0.1,1.3,1.6,0
potato,65,1.0,15.0,0.1,1.0,0.5,0
espresso martini,280,0.5,25.0,0.0,0.0,25.0,0
vodka,97,0.0,0.0,0.0,0.0,0.0,0
coffee liqueur,100,0.0,15.0,0.0,0.0,15.0,0
espresso,3,0.3,0.0,0.1,0.0,0.0,0
simple syrup,30,0.0,8.0,0.0,0.0,8.0,0
coffee beans,2,0.1,0.3,0.0,0.1,0.0,0
baba ganoush,100,2.0,8.0,7.0,4.0,2.0,0
pita bread,165,5.5,33.0,1.2,1.5,1.5,0
falafel,180,6.0,18.0,9.0,4.0,1.0,0
tahini sauce,30,1.0,1.5,2.5,0.5,0.0,0
pickled turnips,10,0.2,2.0,0.0,0.5,1.0,0
shawarma,550,30.0,50.0,25.0,6.0,5.0,80
garlic sauce,90,0.1,1.0,10.0,0.0,0.5,5
hummus,130,5.0,10.0,8.0,4.0,1.0,0
tabouli,120,3.0,15.0,6.0,4.0,2.0,0
bulgur,76,2.7,16.8,0.2,4.1,0.1,0
parsley,5,0.3,1.0,0.1,0.5,0.1,0
mint,1,0.1,0.1,0.0,0.1,0.0,0
lemon juice,4,0.1,1.3,0.0,0.1,0.2,0
olive oil,120,0.0,0.0,14.0,0.0,0.0,0
fig,37,0.4,9.6,0.2,1.5,8.1,0
kibbeh,230,9.0,20.0,13.0,3.0,1.0,30
pine nuts,48,1.0,1.0,5.0,0.2,0.2,0
ground lamb,80,5.5,0.0,6.0,0.0,0.0,20
bulgur,15,0.5,3.4,0.0,0.8,0.0,0
lentil soup,200,10.0,30.0,5.0,10.0,4.0,0
cumin,8,0.3,1.5,0.5,0.4,0.1,0
coriander,5,0.1,1.0,0.2,0.5,0.0,0
lemon juice,1,0.0,0.4,0.0,0.0,0.1,0
pita crisps,130,3.0,18.0,5.0,2.0,1.0,0
manakeesh,300,7.0,45.0,10.0,4.0,2.0,0
za'atar,40,1.0,3.0,3.0,1.5,0.0,0
olive oil,120,0.0,0.0,14.0,0.0,0.0,0
labneh,60,4.0,2.0,4.0,0.0,2.0,15
cucumber,8,0.3,1.8,0.0,0.2,0.8,0
tomato,8,0.3,1.8,0.1,0.5,1.2,0
olives,35,0.2,1.0,3.5,0.5,0.0,0
mint tea,2,0.1,0.5,0.0,0.0,0.0,0
stuffed grape leaves,150,3.0,20.0,7.0,3.0,3.0,0
rice,51,1.1,11.1,0.1,0.1,0.0,0
turkish coffee,5,0.2,0.5,0.0,0.0,0.0,0
cardamom,1,0.0,0.2,0.0,0.1,0.0,0
shish tawook,300,35.0,5.0,16.0,1.0,2.0,100
garlic sauce,90,0.1,1.0,10.0,0.0,0.5,5
french fries,340,4.0,44.0,17.0,4.0,0.3,0
pickled cucumber,10,0.5,2.0,0.0,1.0,1.0,0
fattoush salad,250,5.0,25.0,15.0,6.0,5.0,0
fried pita,80,2.0,12.0,3.0,1.0,0.5,0
sumac,5,0.1,1.0,0.2,0.5,0.0,0
pomegranate molasses,15,0.0,4.0,0.0,0.0,4.0,0

